categoria,archivo_destino,marca,linea,motivo,prompt
portatiles,"lineas-nuevas/portatiles/lenovo-ideapad.png","Lenovo","IdeaPad","PORTÁTIL (regen)","Professional product photography of a Lenovo IdeaPad laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/lenovo-thinkpad.png","Lenovo","ThinkPad","PORTÁTIL (regen)","Professional product photography of a Lenovo ThinkPad laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/lenovo-legion.png","Lenovo","Legion","PORTÁTIL (regen)","Professional product photography of a Lenovo Legion laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/lenovo-yoga.png","Lenovo","Yoga","PORTÁTIL (regen)","Professional product photography of a Lenovo Yoga laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/lenovo-loq.png","Lenovo","LOQ","PORTÁTIL (regen)","Professional product photography of a Lenovo LOQ laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/asus-vivobook.png","ASUS","VivoBook","PORTÁTIL (regen)","Professional product photography of a ASUS VivoBook laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/asus-zenbook.png","ASUS","ZenBook","PORTÁTIL (regen)","Professional product photography of a ASUS ZenBook laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/asus-tuf-gaming.png","ASUS","TUF Gaming","PORTÁTIL (regen)","Professional product photography of a ASUS TUF Gaming laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/asus-rog-strix.png","ASUS","ROG Strix","PORTÁTIL (regen)","Professional product photography of a ASUS ROG Strix laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/asus-expertbook.png","ASUS","ExpertBook","PORTÁTIL (regen)","Professional product photography of a ASUS ExpertBook laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/hp-essential.png","HP","Essential","PORTÁTIL (regen)","Professional product photography of a HP Essential laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/hp-pavilion.png","HP","Pavilion","PORTÁTIL (regen)","Professional product photography of a HP Pavilion laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/hp-victus.png","HP","Victus","PORTÁTIL (regen)","Professional product photography of a HP Victus laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/hp-omen.png","HP","OMEN","PORTÁTIL (regen)","Professional product photography of a HP OMEN laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/hp-probook.png","HP","ProBook","PORTÁTIL (regen)","Professional product photography of a HP ProBook laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/hp-elitebook.png","HP","EliteBook","PORTÁTIL (regen)","Professional product photography of a HP EliteBook laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/acer-aspire.png","Acer","Aspire","PORTÁTIL (regen)","Professional product photography of a Acer Aspire laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/acer-nitro.png","Acer","Nitro","PORTÁTIL (regen)","Professional product photography of a Acer Nitro laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/acer-predator.png","Acer","Predator","PORTÁTIL (regen)","Professional product photography of a Acer Predator laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/acer-swift.png","Acer","Swift","PORTÁTIL (regen)","Professional product photography of a Acer Swift laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/acer-travelmate.png","Acer","TravelMate","PORTÁTIL (regen)","Professional product photography of a Acer TravelMate laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/msi-modern.png","MSI","Modern","PORTÁTIL (regen)","Professional product photography of a MSI Modern laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/msi-katana.png","MSI","Katana","PORTÁTIL (regen)","Professional product photography of a MSI Katana laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/msi-cyborg.png","MSI","Cyborg","FALTANTE","Professional product photography of a MSI Cyborg laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/msi-stealth.png","MSI","Stealth","FALTANTE","Professional product photography of a MSI Stealth laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
